Location,Phase,Cheese,Charm,Mouse,,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Black Powder,Tonic Salesman,1.65%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Black Powder,Train Conductor,5.96%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Black Powder,Train Engineer,16.30%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Black Powder,Travelling Barber,5.91%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Black Powder,Upper Class Lady,1.85%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Angry Train Staff,5.50%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Bartender,1.54%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Black Powder Thief,0.54%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Farrier,1.34%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Fuel,10.12%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Magmatic Crystal Thief,24.91%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Magmatic Golem,5.10%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Mysterious Traveller,4.66%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Parlour Player,1.58%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Passenger,4.89%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Photographer,5.87%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Stowaway,2.48%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Stuffy Banker,1.94%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Tonic Salesman,1.74%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Train Conductor,4.76%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Train Engineer,16.23%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Travelling Barber,5.20%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,SB+,Magmatic Crystal,Upper Class Lady,1.61%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Angry Train Staff,5.76%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Bartender,1.86%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Black Powder Thief,0.79%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Farrier,1.81%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Fuel,11.69%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Magmatic Crystal Thief,24.75%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Magmatic Golem,4.97%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Mysterious Traveller,5.59%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Parlour Player,1.19%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Passenger,5.76%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Photographer,5.59%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Stowaway,0.51%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Stuffy Banker,1.36%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Tonic Salesman,1.13%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Train Conductor,5.48%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Train Engineer,15.25%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Travelling Barber,4.86%,,,,,,,,
Gnawnian Express Station,Daredevil Canyon,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,Magmatic Crystal,Upper Class Lady,1.64%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Eagle Owl,16.74%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Sylvan,10.69%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Chameleon,8.60%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Bear,8.42%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Frog,8.40%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Elven Princess,7.48%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Moosker,6.27%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Wiggler,6.26%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Shaman,5.50%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Treant,5.37%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Fairy,4.42%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Centaur,4.25%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Dwarf,2.14%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Wicked Witch of Whisker Woods,2.02%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Foxy,1.18%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Bat,1.14%,,,,,,,,
Great Gnarled Tree,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Goldleaf,1.11%,,,,,,,,
Great Gnarled Tree,-,Gnarled,-,Curious Chemist,24.01%,,,,,,,,
Great Gnarled Tree,-,Gnarled,-,Eagle Owl,23.40%,,,,,,,,
Great Gnarled Tree,-,Gnarled,-,Elven Princess,11.90%,,,,,,,,
Great Gnarled Tree,-,Gnarled,-,Treant,9.11%,,,,,,,,
Great Gnarled Tree,-,Gnarled,-,Shaman,8.66%,,,,,,,,
Great Gnarled Tree,-,Gnarled,-,Fairy,8.45%,,,,,,,,
Great Gnarled Tree,-,Gnarled,-,Centaur,3.72%,,,,,,,,
Great Gnarled Tree,-,Gnarled,-,Goldleaf,3.55%,,,,,,,,
Great Gnarled Tree,-,Gnarled,-,Foxy,3.42%,,,,,,,,
Great Gnarled Tree,-,Gnarled,-,Wicked Witch of Whisker Woods,2.08%,,,,,,,,
Great Gnarled Tree,-,Gnarled,-,Bat,1.71%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Eagle Owl,14.77%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Sylvan,9.67%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Chameleon,7.99%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Frog,7.64%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Bear,7.22%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Elven Princess,6.56%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Moosker,5.78%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Wiggler,5.70%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Treant,5.36%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Shaman,5.20%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Centaur,4.32%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Fairy,3.67%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Wicked Witch of Whisker Woods,2.12%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Tiger,1.90%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Dwarf,1.81%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Nibbler,1.11%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Bat,1.10%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Nomad,0.98%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Foxy,0.92%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Black Widow,0.44%,,,,,,,,
Great Gnarled Tree,-,SB+,-,Goldleaf,5.78%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Scruffy,9.87%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Dwarf,9.81%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Pirate,9.60%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Spotted,8.91%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Granite,6.74%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,White,7.36%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Grey,7.20%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Pugilist,6.31%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Bionic,6.15%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Brown,6.94%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Steel,5.83%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Gold,5.30%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Burglar,5.34%,,,,,,,,
Harbour,-,Gouda/Brie/Swiss/Marble/Mozzarella/Cheddar,-,Diamond,4.66%,,,,,,,,
Harbour,-,White Cheddar,-,Scruffy,14.51%,,,,,,,,
Harbour,-,White Cheddar,-,Dwarf,13.18%,,,,,,,,
Harbour,-,White Cheddar,-,Pirate,15.84%,,,,,,,,
Harbour,-,White Cheddar,-,Spotted,0.24%,,,,,,,,
Harbour,-,White Cheddar,-,Granite,11.12%,,,,,,,,
Harbour,-,White Cheddar,-,Pugilist,10.28%,,,,,,,,
Harbour,-,White Cheddar,-,Bionic,10.88%,,,,,,,,
Harbour,-,White Cheddar,-,Steel,10.16%,,,,,,,,
Harbour,-,White Cheddar,-,Gold,7.50%,,,,,,,,
Harbour,-,White Cheddar,-,Diamond,6.29%,,,,,,,,
Harbour,-,SB+,-,Burglar,9.95%,,,,,,,,
Harbour,-,SB+,-,Pirate,9.80%,,,,,,,,
Harbour,-,SB+,-,Spotted,9.01%,,,,,,,,
Harbour,-,SB+,-,White,7.20%,,,,,,,,
Harbour,-,SB+,-,Brown,7.01%,,,,,,,,
Harbour,-,SB+,-,Grey,6.99%,,,,,,,,
Harbour,-,SB+,-,Pugilist,5.17%,,,,,,,,
Harbour,-,SB+,-,Scruffy,5.16%,,,,,,,,
Harbour,-,SB+,-,Steel,5.15%,,,,,,,,
Harbour,-,SB+,-,Magic,5.07%,,,,,,,,
Harbour,-,SB+,-,Fog,4.96%,,,,,,,,
Harbour,-,SB+,-,Granite,4.85%,,,,,,,,
Harbour,-,SB+,-,Bionic,4.85%,,,,,,,,
Harbour,-,SB+,-,Silvertail,4.03%,,,,,,,,
Harbour,-,SB+,-,Dwarf,3.88%,,,,,,,,
Harbour,-,SB+,-,Gold,3.00%,,,,,,,,
Harbour,-,SB+,-,Diamond,2.90%,,,,,,,,
Harbour,-,SB+,-,Black Widow,1.02%,,,,,,,,
Iceberg,Treacherous Tunnels,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Chipper,15.69%,,Not Magnet,,,,,,
Iceberg,Treacherous Tunnels,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Icebreaker,15.59%,,Not Magnet,,,,,,
Iceberg,Treacherous Tunnels,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Polar Bear,19.15%,,Not Magnet,,,,,,
Iceberg,Treacherous Tunnels,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Slinger,19.61%,,Not Magnet,,,,,,
Iceberg,Treacherous Tunnels,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Soldier,14.54%,,Not Magnet,,,,,,
Iceberg,Treacherous Tunnels,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Incompetent Ice Climber,14.34%,,Not Magnet,,,,,,
Iceberg,Treacherous Tunnels,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Living Salt,1.00%,,Not Magnet,,,,,,
Iceberg,Treacherous Tunnels (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Chipper,29.43%,,Magnet,Magnet,,,,,
Iceberg,Treacherous Tunnels (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Icebreaker,29.40%,,Magnet,Magnet,,,,,
Iceberg,Treacherous Tunnels (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Slinger,10.74%,,Magnet,Magnet,,,,,
Iceberg,Treacherous Tunnels (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Polar Bear,10.56%,,Magnet,Magnet,,,,,
Iceberg,Treacherous Tunnels (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Soldier,9.69%,,Magnet,Magnet,,,,,
Iceberg,Treacherous Tunnels (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Incompetent Ice Climber,9.42%,,Magnet,Magnet,,,,,
Iceberg,Treacherous Tunnels (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Living Salt,1.00%,,Magnet,Magnet,,,,,
Iceberg,Brutal Bulwark,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Slinger,29.75%,,,,,,,,
Iceberg,Brutal Bulwark,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Polar Bear,29.62%,,,,,,,,
Iceberg,Brutal Bulwark,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Iceblock,24.92%,,,,,,,,
Iceberg,Brutal Bulwark,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Mammoth,5.00%,,,,,,,,
Iceberg,Brutal Bulwark,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Bowler,4.91%,,,,,,,,
Iceberg,Brutal Bulwark,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Yeti,4.81%,,,,,,,,
Iceberg,Brutal Bulwark,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Living Salt,1.00%,,,,,,,,
Iceberg,Bombing Run,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Wolfskie,14.99%,,Not Magnet,,0,0,,,0
Iceberg,Bombing Run,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Slinger,14.85%,,Not Magnet,,,,,,
Iceberg,Bombing Run,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Iceblock,14.75%,,Not Magnet,,,,,,
Iceberg,Bombing Run,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Icebreaker,9.95%,,Not Magnet,,,,,,
Iceberg,Bombing Run,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Stickybomber,9.90%,,Not Magnet,,,,,,
Iceberg,Bombing Run,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Chipper,9.94%,,Not Magnet,,,,,,
Iceberg,Bombing Run,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Saboteur,9.92%,,Not Magnet,,,,,,
Iceberg,Bombing Run,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Heavy Blaster,9.71%,,Not Magnet,,,,,,
Iceberg,Bombing Run,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Bowler,4.99%,,Not Magnet,,,,,,
Iceberg,Bombing Run,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Living Salt,1.00%,,Not Magnet,,,,,,
Iceberg,Bombing Run (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Chipper,20.00%,,Magnet,Magnet,,,,,
Iceberg,Bombing Run (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Icebreaker,19.56%,,Magnet,Magnet,,,,,
Iceberg,Bombing Run (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Slinger,10.06%,,Magnet,Magnet,,,,,
Iceberg,Bombing Run (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Stickybomber,10.05%,,Magnet,Magnet,,,,,
Iceberg,Bombing Run (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Iceblock,9.92%,,Magnet,Magnet,,,,,
Iceberg,Bombing Run (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Saboteur,9.63%,,Magnet,Magnet,,,,,
Iceberg,Bombing Run (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Wolfskie,9.53%,,Magnet,Magnet,,,,,
Iceberg,Bombing Run (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Bowler,5.42%,,Magnet,Magnet,,,,,
Iceberg,Bombing Run (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Heavy Blaster,4.83%,,Magnet,Magnet,,,,,
Iceberg,Bombing Run (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Living Salt,1.00%,,Magnet,Magnet,,,,,
Iceberg,The Mad Depths,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Wolfskie,19.47%,,Not Magnet Not Hearthstone,,,,,,
Iceberg,The Mad Depths,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Iceblock,19.73%,,Not Magnet Not Hearthstone,,,,,,
Iceberg,The Mad Depths,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snowblind,15.13%,,Not Magnet Not Hearthstone,,,,,,
Iceberg,The Mad Depths,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Water Wielder,14.68%,,Not Magnet Not Hearthstone,,,,,,
Iceberg,The Mad Depths,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Iceblade,14.48%,,Not Magnet Not Hearthstone,,,,,,
Iceberg,The Mad Depths,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Chipper,10.47%,,Not Magnet Not Hearthstone,,,,,,
Iceberg,The Mad Depths,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Bowler,5.03%,,Not Magnet Not Hearthstone,,,,,,
Iceberg,The Mad Depths,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Living Salt,1.00%,,Not Magnet Not Hearthstone,,,,,,
Iceberg,The Mad Depths (Hearthstone),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Wolfskie,25.08%,,Hearthstone,Hearthstone,,,,,
Iceberg,The Mad Depths (Hearthstone),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Iceblock,24.48%,,Hearthstone,Hearthstone,,,,,
Iceberg,The Mad Depths (Hearthstone),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snowblind,19.93%,,Hearthstone,Hearthstone,,,,,
Iceberg,The Mad Depths (Hearthstone),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Chipper,14.71%,,Hearthstone,Hearthstone,,,,,
Iceberg,The Mad Depths (Hearthstone),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Water Wielder,5.02%,,Hearthstone,Hearthstone,,,,,
Iceberg,The Mad Depths (Hearthstone),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Bowler,4.94%,,Hearthstone,Hearthstone,,,,,
Iceberg,The Mad Depths (Hearthstone),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Iceblade,4.85%,,Hearthstone,Hearthstone,,,,,
Iceberg,The Mad Depths (Hearthstone),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Living Salt,1.00%,,Hearthstone,Hearthstone,,,,,
Iceberg,The Mad Depths (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Wolfskie,20.58%,,Magnet,Magnet,,,,,
Iceberg,The Mad Depths (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Iceblock,19.78%,,Magnet,Magnet,,,,,
Iceberg,The Mad Depths (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Water Wielder,14.78%,,Magnet,Magnet,,,,,
Iceberg,The Mad Depths (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Iceblade,14.72%,,Magnet,Magnet,,,,,
Iceberg,The Mad Depths (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snowblind,14.70%,,Magnet,Magnet,,,,,
Iceberg,The Mad Depths (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Chipper,9.84%,,Magnet,Magnet,,,,,
Iceberg,The Mad Depths (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Snow Bowler,4.60%,,Magnet,Magnet,,,,,
Iceberg,The Mad Depths (Magnet),SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Living Salt,1.00%,,Magnet,Magnet,,,,,
Iceberg,Generals,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Lady Coldsnap,31.98%,,,,,,,,
Iceberg,Generals,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Princess Fist,31.95%,,,,,,,,
Iceberg,Generals,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Lord Splodington,30.41%,,,,,,,,
Iceberg,Generals,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,General Drheller,5.66%,,,,,,,,
Iceberg,Icewing's Lair,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Frostlance Guard,69.08%,,,,,,,,
Iceberg,Icewing's Lair,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Icewing,25.43%,,,,,,,,
Iceberg,Icewing's Lair,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Frostwing Commander,5.49%,,,,,,,,
Iceberg,Hidden Depths,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Living Salt,34.59%,,,,,,,,
Iceberg,Hidden Depths,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Frostwing Commander,34.34%,,,,,,,,
Iceberg,Hidden Depths,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Frostlance Guard,31.07%,,,,,,,,
Iceberg,The Deep Lair,SB+/Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Deep,100.00%,,,,,,,,
Jungle of Dread,-,Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar,-,Swarm of Pygmy Mice,86.23%,,,,,,,,
